Bleu-score || Original Commit Message || Generated Commit Message
32.860 || jetty http producer bridge endpoint should avoid npe error and detect invalid uri and provide exception with suggestions what to do || rest dsl should not be swagger to rest dsl with request from <num> dsl has not supported in rest dsl has not supported in rest dsl
32.824 || camel aws add update function operation to aws lambda component || camel aws lambda add support for generating operation delete operation operation
32.775 || downgrade the embed mongodb as it does not work || camel mongodb db add support for resume commits to the read lets also see it in the jmx consumer so we can monitor when
32.732 || apt compiler plugin fixed to include component level metadata again || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
32.732 || component docs apt compiler plugin should support metadata enums for eip data formats as well || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
32.719 || fixed karaf itest for camel nats || camel itest karaf to get it working
32.658 || camel infinispan support compute async operation || camel infinispan add support for resume operation
32.627 || camel git add show tags operation || camel git add option for resume download operation
32.564 || add support for using any property placeholders on load balancers || add reload strategy to allow watching for file changes and reload routes on the fly to be regular freemarker
32.564 || add the id of the file just persisted to the context || camel ftp add option to turn on logging of transfer activity lets also see sending in jms endpoint consumer
32.560 || fixed camel jetty common spring boot integration test || fixed test to ensure the camel cdi <num>
32.487 || use the configured read timeout for the initial hl <num> message read attempt || camel ftp add support for resume commits to send the byte to be able to false the
32.487 || camel sjms should log caught jms exceptions by default || camel jms should not use checked camel spring during camel spring boot camel jms to camel http
32.462 || add java <num> stream to iterator as type converter || camel core add support for generating stream type format
32.462 || add management annotations to ehcache idempotent repository || camel infinispan add support for resume repository to get
32.462 || include camel jcaache in distribution and provide karaf features || camel aws create single karaf and spring boot itests
32.453 || rest swagger servlet added option to suppress translate context path || camel swagger should not create a path with spring boot with camel api in rest path
32.422 || upgrade to blueprint core <num> <num> blueprint cm <num> <num> aries proxy <num> <num> || optimize to use property evaluator services as blueprint properties parser has having to jdk <num>
32.422 || supervising route controller add a spi to filter routes to supervise || add reload strategy to allow watching for file changes and reload routes on the fly
32.407 || camel slack add component verifier from syndesis project || camel google add camel google mail aws mail verifier verifier
32.407 || camel jt <num> need to call configure consumer || camel websocket add support for resume consumer to the consumer
32.397 || fixed camel archetype catalog and only attach the catalog to the archetypes pom || camel catalog maven plugin to generte base component readme by download jar via maven
32.380 || upgrade mockito core to version <num> <num> for camel spring redis || camel nats add support for resume body to the operation to use we
32.380 || camel sjms batch consumer should support async start listener || spi should not depend on camel core but camel support <num>
32.372 || implement etag support in olingo components || camel olingo <num> add support for http value in the data helper
32.372 || improved docs for ddb components and harmonize region for ddbstream too || camel aws harmonize how to specify region in all the components mq
32.372 || added a test component method call for camel fhir in karaf itest || camel aws create single karaf feature tests for single components aws kms
32.372 || support to setup the filter init parameters from jetty uri || camel properties add support for resume type in the message to be
32.059 || camel aws translate create a karaf feature || camel aws create single karaf feature tests for single components aws kms
31.960 || camel aws swf add the ability to specify credentials and region at component level || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
31.960 || extend simple date formatter for properties || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
31.960 || add option to use java <num> optional for pojo fields || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
31.894 || fixed event notifier wrong check for sent vs sending || camel aws reuse stream to the aws event while stopping the aws aws aws aws aws aws single single the aws aws single single the aws aws iam camel aws mq
31.894 || fixed restlet warning about empty response should use <num> instead of <num> as response code || camel http <num> http http http http http http http http http http http http http http http http http http http http http http http http http http http http
31.884 || moved language annotation to camel support so components with language do not have to depend on camel core || add support for generating type of code source code code can be able to load component type converters in a faster way
31.806 || remove unnecessary converters and polish code doc || add support for generating type converter loader source code to be able to load component type converters in a faster way
31.806 || logging additional summary for routes coverage in camel test || add reload strategy to allow watching for file changes and reload routes on the fly property editor from to d work
31.736 || create camel rxjava <num> component || camel reactive streams add more ability to consume events and mapping filtered lets also see it in jms jmx consumer so we can monitor when it last downloaded something
31.736 || upgraded dropbox core sdk to <num> <num> || camel ftp add option to turn on logging of transfer activity lets also see it in jms jmx consumer so we can monitor when it last downloaded something etc
31.725 || support observing route events filtered by route id in camel cdi || add support for generating camel context manager that can trigger circular dependencies issue with spring and similar io c frameworks
31.653 || fixed the short java type generation in remaining model classes || first cut of mvn goal to generate update component readme md file make the plugin update the existing adoc file to keep the endpoint options up to date
31.653 || add review remarks || camel ftp add option to turn on logging of transfer activity lets also see it in the jmx consumer so we can monitor when it last downloaded something
31.653 || chmod does not work for the file producer whitout setting a charset thanks to nicolas mugnier for spotting this || camel ftp add option to turn on logging of transfer activity lets also see it in jms jmx consumer so we can monitor when it last downloaded something
31.641 || add missing docs for eips || add reload strategy to allow watching for file changes and reload routes on the fly to be regular freemarker
31.636 || add support for copy object in camel aws s <num> || camel aws s <num> add option to specify the operations operation
31.554 || polish the last commit by this round || camel nats add support for using download to set the thread header to keep a last last last
31.463 || remove access to the route when reifying the error handlers || add reload strategy to allow watching for file changes and reload routes on the fly from property
31.463 || camel braintree add uri param to configure advanced options || add option to turn which loading they were to spring boot to the the http rest components
31.463 || add chmod directory to allow setting file permissions on directories created by file producer || camel ftp add option for resume download to run a no while no path in spring boot
31.370 || introspection support allow to use dash style naming || add property binding support to make it convenient to configure components and whatnot to the <num>
31.273 || fix endpoint dsl clash with the rest endpoint || rest rest dsl to rest dsl to generate camel rest component renaming in rest dsl
31.273 || thread name set to endpoint uri || fixed cs to use the thread pool as we can use the thread pool as
31.273 || improve aggregator to be more asynchronous and non blocking when using optimistic locking || add reload strategy to allow watching for file changes and reload routes on the fly
31.273 || add spring boot auto configuration for kubernetes cluster || camel kubernetes add initial option to provide a the list of the server and jms
31.273 || add skip method to simple language || camel catalog add support for resume type to string does not set to string type
31.273 || added unit test for blueprint properties parser fallback to unaugmented property behavior || camel nats add support for resume type to get a no server to be used
31.273 || create camel component for service now || camel servicenow add support for connectors so we can get a list of the registry
31.176 || allow to do autowrire by classpath quick and dirty prototype || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
31.176 || eip docs should have same table structure as the others || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
31.176 || fix wrong name for customizers || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
31.176 || camel run should use explicit configured use blueprint use cdi configuration if provided || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
31.176 || add starts with operator to simple language || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
31.172 || endpoint registry transformer registry and validator registry use wrong generics || camel main allow to configure the registry list as a components and fixed type
31.172 || use restlet header utils to apply response headers || headers headers headers headers when setting setting headers headers to headers headers headers headers
31.172 || camel caffeine add support for removal listener || camel aws create single kms on spring boot itests for single components aws sqs
31.069 || move mock component out of camel core <num> || camel undertow add a component for get a message and only a exchange
31.069 || disable sftp consumer disconnect test || file consumer should not use deprecated as file files to avoid camel test
31.069 || add restart opertation to jmx route mbean || added unit test based on user forum issue to avoid a route policy
31.069 || camel <num> || camel undertow camel http <num> to be able to configure a a route
31.069 || component docs catalog should find component docs if using alternative scheme || camel catalog allow to add custom component connector by download jar via maven
31.066 || lets pass all unit tests in camel core on java <num> || camel maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
31.066 || speedup on mac || add reload strategy to allow watching for file changes and reload routes on the fly is be thread thread in the fly
30.962 || jooq add integration tests for karaf and spring boot karaf itest || camel aws create single karaf feature itests for single components aws kms
30.962 || added spring boot itest for aws ecs component || camel aws create single karaf feature tests for single components aws kms
30.962 || fixed the defect manual commit not working <num> || fixed cs to version <num> <num> <num> <num> camel jira camel jira
30.962 || camel kubernetes consumers do not close watchers namespace consumer || camel reactive streams should be able on thread background and or consumers
30.962 || fixed test configuration for bam added repetition in case of failure || fixed camel salesforce <num> test test test to ensure the camel context
30.962 || add camel context name test assertion || camel zipkin instrument camel work in progress like test test tests in
30.951 || npe in camel jaxb when using in osgi running from camel test blueprint || add support for generating type converter loader source code to be able to load component type converters in a faster way
30.853 || fix <num> stop olingo index classes generating np exceptions || camel olingo <num> add support for resume operation test test test
30.853 || mock endpoint may not respect expected minimum message count <num> || fixed cs in the endpoint message to set a header header
30.853 || import of the iec <num> component || camel salesforce <num> add option to configure the the configuration configuration
30.853 || camel commands camel component info || camel catalog allow to do custom component level as a components
30.853 || add no namespace schema location to model || camel spring boot add support for hosting case to configure components
30.853 || support to carry file attributes on file endpoint || add option to turn on camel data can have camel context
30.829 || restl dsl server side should return response on options for all the uri paths || rest dsl with netty http http rest dsl is not work in rest dsl is not work in rest dsl
30.743 || add get message set message to exchange interface || camel jms add support for resume type of the message
30.743 || camel mongo db <num> component should not store state || camel mongodb db use bind to registry annotation so possible
30.743 || used count down latch to wait for stop || fix for camel mongodb to be unnecessary in the loop
30.701 || soap request causing null namespace uri in simple ns stream writer <num> || add support for generating rest calls with swagger schema validation and facade to actual http client in use etc
30.701 || use base class for route events || add route strategy to model camel context so you can filter out unwanted routes such as from unit testing
30.701 || xslt will fail if the xml document contains a default namespace || camel core add support for generating type converter list to string type to string value as the jira is
30.701 || camel test blueprint support for empty properties || add reload strategy to allow watching for file source and reload routes on the fly is using thread etc
30.683 || added unit test || added unit test based on user forum issue
30.634 || add test stopping endpoint || camel twitter add support for injecting id test operation
30.634 || fix find bugs warnings suspicious reference comparison <num> || fix for camel core with work in progress <num>
30.631 || aligned xml dsl attribute names to java dsl from type and to type instead of from and to || add support for injecting type converter to be dataformats from the stream is set the data format
30.579 || added camel google sheets spring boot integration test || added a spring boot itest for camel influxdb component
30.564 || fixed typo in zip deflater data format clause || use awaitility in camel core for testing where we otherwise use thred sleep which can be speeded up
30.564 || now setting the exchange interrupted property on an exchange interrupted in the default async processor await manager || use awaitility in camel core for testing where we otherwise use thred sleep which can be speeded up
30.564 || add missed test case || camel aws create camel aws mail components moved aws kms component aws kms aws kms test test test
30.529 || camel caffeine add idempotent repository to component || camel infinispan add support for resume custom producer
30.529 || add mask option to log eip || allow to configure more xml of xml eip
30.529 || camel cdi better handling of cdi event endpoints || camel aws lets call type of the type
30.529 || camel itest karaf some failed tests || camel cbor add karaf feature to version <num>
30.433 || add camel debezium component to camel || camel connector add support for query operation
30.433 || camel main output summary of auto configuration || camel catalog add support for main download
30.433 || add csrf support || camel file add support for connectors case
30.422 || camel bom add camel catalog and others || camel catalog add more jax rs application
30.422 || camel aws sqs fixed cs || fixed cs to be set camel exchange
30.419 || logging in the annotation processor || optimize model classes to provide changeable properties that support property placeholders to avoid reflection work in progress
30.419 || rename error handler builder to error handler factory in some places || add reload strategy to allow watching for file changes and reload routes on the fly is configured
30.419 || camel mail use multi catch where possible || camel jaxb streams exception exception exception exception exception exception exception exception exception exception exception exception exception exception
30.419 || fix typo in text method name of file consume done file issue test || add reload strategy to allow watching for file changes and reload names on the fly to be
30.419 || add lumberjack component || camel olingo <num> add support for hosting type to set the type of same type has set
30.419 || camel catalog method call tokenizer and xtokenizer do not use xml value || generate spring boot auto configuration for all camel data formats that has options that can be configured
30.359 || removed camel jibx karaf itest || camel cbor add karaf feature test
30.359 || implements for camel olingo <num> || camel http <num> http http <num>
30.264 || close jmxconnector on shutdown of jmxconsumer in camel jmx || camel catalog should allow to configure a jvm pool after processing n or also consumer consumer
30.264 || optimise recording time taken for each processor should be advice if possible || optimise not use the plugin as it can trigger to the existing as the route handler
30.264 || code cleanup and encoding support || camel ftp add support for resume type to send content length to handle content type header
30.264 || level db and all the other aggregation repository allow serializable objects in headers || added unit test based on user forum issue to be used with headers to be used
30.098 || notify builder add from current route functionality || add reload strategy to allow watching for file changes and reload routes on the fly
30.098 || fully integrate the endpoint dsl in the java dsl || add reload strategy to allow watching for file changes and reload routes on the fly
30.098 || introduce a model interface to hold definitions related methods || add reload strategy to allow watching for file changes and reload routes on the fly
30.098 || main supports light weight ioc for route builder classes || camel main should support defaulting as camel context we can have different same same class
30.098 || removed camel bam remaining stuff || camel aws create single spring boot itests for single components aws ec <num> aws mq
30.098 || restrict fluent producer template to include a dummy uri || camel aws add an ability to consume events and polished names in components level endpoint
30.098 || optimise allow to turn data type on or off on message || camel aws lets add the same approach on the components and configure a aws components
30.098 || there is always more with camel || camel catalog maven plugin to generte base component readme by components etc via maven project
29.920 || move attachments out of camel core into camel attachments upgrade cxf codegen plugin || camel ftp add support for using stream in the source producer test test test
29.920 || added debug logs in camel netty <num> codecs when incoming content is ignored || fixed cs to be used as the response is not is is is is
29.920 || fixed class cast exception in ftp polling consumer rollback || camel jms add support for resume consumer to send the send of reply etc
29.920 || cleanup salesforce component verifie || camel google mail add the ability to specify credentials and region at component level
29.920 || upgrade kubernetes client to version <num> <num> || camel kubernetes add support for resume download in service component in some endpoint name
29.920 || use dynamic ports in test || fix unit tests in osgi with exception with exception with exception in the exception
29.920 || add transformer list command || add support for injecting camel context so you can plugin to more current core
29.920 || fixed copy paste mistake || camel aws create single spring boot auto configuration for all components and fixed cs
29.920 || camel braintree cannot install in karaf || camel blueprint <num> add support for resume commits to string of the message message
29.920 || camel cdi test canonical example || added unit test for using component issue to fail that is a exchange header
29.920 || refactor tests to their relevent test classes || camel aws ddb add the ability to specify credentials and region at component level
29.862 || camel aws create an iam component list users operation || camel aws iam add describe operation operation operation operation operation
29.784 || camel elastisearch rest the rest high level client must be closed when disconnecting || camel elasticsearch rest rest component to specify it only a elasticsearch component
29.784 || camel couch db add the ability to remove an entry from producer side || camel aws create the kms to specify a list of the components
29.727 || increase configuration options for pulsar || camel nats add option to configure x and polished options ala camel nats
29.727 || camel mail fixed cs || upgrade mockito core to version <num> <num> for camel influxdb camel salesforce and
29.727 || fixed the issue of camel bean always invokes cached instance || camel main allow to configure global and common it ala camel spring boot
29.727 || renamed to better name fixed cs || added unit test for batch component test to ensure the aggregation strategy to
29.727 || deadlock in component creation || camel spring boot should not be strict in spring context from spring boot
29.727 || refresh entity manager on persistence exception || fixed cs in logging of the entity in the entity in the entity
29.727 || camel components configured using setters should support property placeholders || camel spring boot add option to configure custom bean configuration as spring boot
29.727 || restlet contract for rest consumer fa || camel cloud fixed service consumer should not be shutdown to configure the context
29.727 || inline multi value rabbitmq args in uri || fixed cs in camel netty <num> with work in routing of no messages
29.727 || move camel couchbase from extra to asf || camel aws create single kms on spring boot with all components aws sqs
29.517 || ignore iota send transfer test for the moment || camel aws create single kms on spring boot itests test tests tests
29.517 || fixed potential npe in notify builder || camel core should not able to turn so otherwise in the loop
29.517 || add command exchange property for date expression in expression builder <num> || fixed potential npe in camel core to be used as the route
29.517 || fix polling return for empty odata odata feeds <num> closes <num> || camel salesforce add support for resume consumer should only a only api
29.517 || camel core remove unnecessary object array creation when logging with placeholders || camel ftp allow to configure custom custom list of a activity etc
29.517 || moved to compliant package || camel catalog add more ability to provide the the component configuration option
29.517 || update micrometer allow simple expressions in meter names and parameters || fixed test in exchange to be exchange as it is a exchange
29.517 || ping check api add javadoc || camel catalog add support for resume case to configure a other context
29.517 || distribuited map retrieve hashmap keys thanks to fabrizio spataro for the patch || camel hazelcast add support for resume a list of list operation operation
29.342 || camel aws kms add a schedule key deletion operation || camel aws kms add an operation operation operation operation operation test test
29.287 || switch to junit <num> || added unit tests for testing issue to be used on exception
29.287 || remove unsafe chars in rfc <num> which obsolete in rfc <num> || camel undertow add support for using body test test in test
29.287 || possibility to use a simple lrucache || optimise allow to turn on loading message implementation from the <num>
29.287 || in order to disable custom keyboard if it s activated || camel cloud create a work in service of the route id
29.287 || make sure response code and content type are propagated to cxfrs || camel restlet should not be able to handle the http request
29.287 || failed to create route exception should mask sensitive information in uris || added unit test to be thrown to be thrown to false
29.287 || fixed some warnings in camel jms || camel core add support for generating type converter to output helper
29.287 || fixed partition character || fixed cs to be set camel context to be set the
29.287 || splitted hazelcast component into <num> which correspond to each of endpoints || camel hazelcast add support for mode in camel hazelcast camel context
29.287 || added camel digitalocean starter to kit || camel spring boot add default configuration for spring boot auto configuration
29.287 || add spring boot rest dsl jpa example || camel aws add single work in the verifier in the components
29.287 || updated component docs || allow to configure the data of rabbitmq docs docs docs docs
29.287 || propagate fault property to soft copy || camel jms add support for resume type in the message to
29.287 || documentation for kinesis producer || camel aws kinesis fixed tests to browse the client <num> <num>
29.068 || camel aws sqs fixed cs || fixed cs to be used as
29.068 || polish hazelcast route policy || add route policy to route policy
29.068 || camel catalog include the adoc files || camel catalog add support for connectors
29.033 || expose additional camel metrics from micro profile metrics component || camel core add support for connectors event apache camel <num>
29.033 || adding webhook capabilities to camel telegram || camel swagger rest tests for work in the rest component
29.033 || camel jetty attempt to fix the jetty async throttle test || fixed cs to be used as it is a set
29.033 || removed usage of deprecated camel features || camel ahc <num> use bind to registry annotation wherever possible
29.033 || polished camel fhir dataformat || camel catalog add more option to generate the camel catalog
29.033 || fixed cs this closes <num> || camel aws create single kms broker aws aws mail <num>
29.033 || updated hystrix example || camel hystrix add support for main eips in spring boot
29.033 || use slf <num> j instead of commons logging || camel ftp add option to turn on logging and polished
29.033 || initial commit of camel pubnub component || camel netty add spi for spi custom spi in spi
29.033 || fix tests failures || camel aws create single kms on the mail and fix
29.033 || simplefied camel spring redis || camel nats add support for resume body to the producer
29.033 || fixed netty leak in unit test and a npe || camel ftp <num> add support for turn in the reader
29.033 || fix type inference compilation error with older jdk versions || camel cdi add support for resume type in the api
29.033 || factorize proxy factory and service exporter definitions || camel catalog add support for main discovery name in service
29.012 || camel aws ddb stream use a configuration for the options like the other aws components || camel aws sqs add the options to specify the the request request endpoint option to sqs the bucket options
28.940 || add security and advanced properties to the camel grpc component || camel grpc add support for resume in the component
28.890 || added plain get set to components for spring boot configuration || camel spring boot add support for configure options in camel spring boot to auto configuration
28.799 || added test for camel active mq karaf feature || camel aws create single karaf feature itests for single components aws kms
28.799 || camel aws mq use regions value of in the verifier || camel aws harmonize how to specify region in all the aws components
28.799 || camel milo create karaf feature || camel aws create single karaf feature tests for single components aws kms
28.777 || camel spring boot example with using camel amqp starter || camel catalog add support for connectors in spring boot
28.777 || service call create a dns srv resolver for kubernetes || service call allow to configure a service call service
28.777 || camel catalog maven allow to configure temp folder || camel catalog to catalog different build missing missing option
28.751 || camel seda seda consumer should extend default consumer || camel aws lets call shutdown shutdown on routing clients
28.751 || add configuration parameters add data format build clauses || camel catalog add support for connectors to get we
28.751 || add the ability to do manual pulsar message acknowledgements || camel nats use bind to registry annotation wherever possible
28.751 || use bind to registry wherever possible camel pgevent || camel cbor added support for bit in camel undertow
28.751 || update camel thrift to libthrift <num> <num> || camel main add support for resume so the thread
28.751 || removed camel cache remaining stuff || added camel ehcache and karaf and sb and sb
28.751 || camel nsq fixed cs and added the starter || camel aws create camel spring boot itest source component
28.751 || camel aws create an iam component first commit || camel olingo <num> add parameters to the the bulk
28.751 || moved get connection to endpoint || camel nats should be set to set a parameters
28.751 || camel jmx allow consumer to alos filter observed attribute || camel catalog should support put only when its end
28.751 || xchange get the list of supported currency pairs || camel aws create single kms options on the components
28.751 || add restlet host abstraction for creation of restlet server || camel catalog add more option to configure configuration option
28.751 || better log that exception at debug level || fixed cs to be set exception to be used
28.751 || camel cxfrs allow to configure providers easily from endpoint || camel catalog should support more values on spring boot
28.751 || dozer classloading may fail with spring based context || upgrade to spring boot <num> work in spring boot
28.681 || migrated half of the camel xstream tests to junit <num> testing coexistence of junit <num> and junit <num> || camel aws create single work in spring boot itests for single components aws sqs test test test
28.571 || remove camel mina test for karaf features since the feature doesn t exist anymore || camel aws create single karaf feature itests for single components aws kms
28.487 || remove rest dsl component explicit config from the spring boot rest jpa example || fixed example to use rest binding <num> as camel api camel api
28.433 || camel file watch ci test failures || fix camel core to work in event name
28.433 || fixed camel atmos and polished || fix for camel <num> to use <num> client
28.433 || renamed tests to follow test pattern || added unit test based on user forum issue
28.433 || fixed issue in property binding support || fixed cs to avoid the camel context default
28.433 || implement missing optimisation for delimiter based frame decoder || camel netty <num> add support for hosting custom
28.433 || fixed camel servlet spring boot integration test || removed camel cdi <num> to the <num> <num>
28.433 || olingo <num> component service uri not set || camel ahc <num> add tests for jmx server
28.433 || fixed cs in billboard example and regen || fix for test in tests to be used
28.433 || add deprecation on method not really in use || camel main can now automatic a method method
28.433 || upgrade smack to version <num> <num> || fixed cs to avoid set to be used
28.433 || revert accidental changes to camel metrics || polish to set the header to headers headers
28.433 || camel nagios switch to jsendnsca ported library || camel ftp add option for resume type list
28.433 || create a camel g rpc example || camel cdi add support for resume and service
28.433 || fixed test || camel infinispan add support for resume download test
28.433 || hystrix allow to configure global configuration || circuit breaker eip that is using hystrix eip
28.433 || added complete kafka idempotent repository with supporting tests || added a little registry to the component component
28.433 || auto bind hystrix servlet in spring web || camel spring boot add support for changing beans
28.433 || set the host header in undertow pro || camel restlet should support the http as request
28.433 || camel connector example using saa s connectors || fixed cs to avoid value in camel core
28.433 || salesforce composite api wrongly ch || camel salesforce add karaf to version <num> <num>
28.433 || do not cache osgi service instances || service call eip should be thread via component
28.433 || compare moved to equals and null pointer safe || fixed cs to be set a route id
28.433 || filter route event by id in observer method || fix for netty <num> component in camel cdi
28.396 || fixed potential npe in fluent producer template if no endpoint was configured || camel restlet add support for fluent template should only producer in producer template
28.389 || camel aws sqs add a consumer integration test for delete if filtered option || camel aws sqs add support for delete possible in the sqs in aws sqs
28.217 || fixed cs for autogenerated endpoint dsl || fixed cs to be set the endpoint spring boot <num>
28.217 || problem in setting region for camel aws sqs endpoint || camel aws ddb use the same approach in spring boot
28.217 || service now add an option to configure teh api version || camel swagger allow to configure a route of the api
28.172 || an autocreated cxf bus not shut down in cxf spring endpoint <num> || camel main create camel atomix in spring boot auto configuration polished
28.172 || adjusted the code to reflect the use of apache sshd <num> <num> || camel main add support for main download in the properties to
28.172 || remove camel test spring <num> as spring <num> is no longer supported || camel main should not warn on spring boot with properties properties
28.122 || added unit tests || added unit test for testing and <num>
28.122 || fixed cs this closes <num> || fixed cs to be used as the
28.081 || create a little example for camel aws s <num> consumer || camel aws s <num> use amazon options of list of the operation
28.070 || camel bindy tab delimited handling blank values || camel catalog should support warn using files
28.070 || fixed using jmx with osgi || fixed cs to use the thread strategy
28.070 || create push tag operation || camel git add support for query operation
28.070 || allow customization of types in ge || camel catalog allow to configure older versions
28.070 || fix camel <num> || camel nats add support for jmx server
28.070 || camel rabbit mq allow passive queue declaration || camel nats add support for body custom
28.070 || fix test with system property line separator || fixed test in test test in test
28.070 || renamed test class || added unit test for using forum issue
28.070 || create a new camel thrift data format || camel cbor add support for content type
28.070 || removed use of the deprecated api || fixed cs to get value of exchange
