Bleu-score || Original Commit Message || Generated Commit Message
32.059 || add testcase for issue <num> https github com alibaba fastjson issues <num> || add testcase issue <num> <num> <num> <num> html <num> html <num> html
32.033 || issue <num> add and use tree visitor visit leaves first || add a more diagnostic to a goog pass to a goog created by moe http code google com p moe moe migrated revid <num>
31.960 || hive <num> cannot find field error during dynamically partitioned hash join jason dere reviewed by vineet garg || add a check to check that is a non existent created by moe http code google com p moe moe migrated revid <num>
31.894 || hive <num> workload management action parser does not generate the correct pool path harish jaiprakash reviewed by prasanth jayachandran || add a todo to the set of the end of the end of the end of the end of the end of the end of the end of the end of
31.894 || hive <num> difference in exception string from native method causes script pipe q to fail on windows thejas nair via ashutosh chauhan || add a todo to the usage of the output of the output of the output of the output of the output of the output of the output of the output of
31.894 || commented the call to varargsconstructorprovider || fix a bug in the documentation of the proto of the proto of the proto of the proto of the proto of the proto of the proto of the proto of
31.894 || modify the jsp || add a test for the list of the list of the list of the list of the list of the list of the list of the list of the list of
31.894 || remove reference to removed unnecessary listener || remove session session session session session session session session session session session session session session session session session session session session session session session session session session session session session session
31.894 || switch the ajp connector to nio by default too || add a test for the http http http http http http http http http http http http http http http http http http http http http http http http http http
31.894 || fix some javadoc that was clobbered by the formatter || add a getter to the list of the string of the top of the top of the top of the top of the top of the top of the top of
31.894 || fix a bug ecdsasignature to byte array is not <num> bytes always || add byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte
31.894 || remove specific path for windows || add support for android <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num>
31.884 || hive <num> wrong simplification in query with multiple in clauses jesus camacho rodriguez reviewed by zoltan haindrich || add a check to make sure the ast literal created by moe http code google com p moe moe migrated revid <num>
31.884 || hive <num> enable the cleanup of side effect for the encryption related qfile test ferdinand xu reviewed by sergio pena || add a <num> <num> to the cli <num> <num> <num> <num> <num> f <num> f <num> f <num> f <num> f <num>
31.884 || fix bug <num> tag files in jars were getting compiled once for every jsp that used them patch provided by anthony berglas || add a couple of the externs to the goog pass created by moe https github com google moe moe migrated revid <num>
31.757 || hive <num> hiveserver <num> in http mode is not applying auth to local rules abdelrahman shettia reviewed by vaibhav gumashta || fix bug by http <num> <num> <num> d <num> d <num> d <num> d <num> <num> <num> <num> <num>
31.736 || include all ddns when exporting a context || add a method to get goog set of a goog set a goog set a goog created by moe http code google com p moe moe migrated revid <num>
31.725 || hive <num> replication update hive repl partitions dump parallelism to <num> vaibhav gumashta reviewed by thejas nair || add a convenience method to make it easier to be set to the class created by moe http code google
31.725 || use apr unspec only if the provided address actually is the ipv <num> address || fix a bug in the case where the wrong segment was not found when the first was not being correctly
31.692 || provide class name to error message || add log to class name <num>
31.692 || add a couple of test cases || add a test for the build
31.692 || add a note to flush || add a todo to the request
31.692 || add readonly parameter for jdbc || add support for jdbc jdbc connector
31.692 || remove unused spider code label || remove unused code <num> <num> <num>
31.692 || add test for failing compilation || add a test for the build
31.641 || hive <num> use null vertex location hint for prewarm dag vertices gopal v via gunther hagleitner || add a null check for getting apps to be able to the same of the master of a master
31.641 || prefer sql <num> standard syntax <num> || add author <num> <num> html <num> html <num> d <num> e <num> e <num> e <num> e <num> e
31.641 || debug ci failure before deciding how to address it || fix test failure to be null <num> <num> <num> d <num> a <num> d <num> d <num> a <num>
31.641 || add constructor validation to eintent service || add a couple of the feature to the list of the user to the list of the legacy api
31.565 || modify the logo || add a method to get the ast type in a goog set a node node created by moe https github com google moe moe migrated revid <num>
31.565 || modify set index for items || add index index index index index index index index index index index index index index index index index index index index index index index to index index
31.554 || add content to ams content || add log to log message <num> <num> html <num> d <num> d <num> d <num> d <num> <num>
31.554 || add inject and key to well known mutability || add a todo to the list of the type type to the type of the type of the
31.483 || add table rule test case || add test case to the list of table
31.474 || hive <num> remvoe dependence from writer impl to orc input format || add a todo to the allow sure we don t need to the parse of the end of the case of the output of the source
31.474 || using string builder || add a convenience method to string string string string string string string string string string string string string string string string string string string to string
31.474 || improve validation of bogus is subtype queries relnotes n a || add a more check to check for equals to string to be not created by moe http code google com p moe moe migrated revid <num>
31.463 || hive <num> llap ship netty <num> as part of llap install tarball gopal v via ashutosh chauhan || remove unused code <num> <num> <num> <num> c <num> c <num> c <num> c <num> c <num>
31.463 || hive <num> use sha <num> for cookie signer to improve security tao li reviewed by thejas nair || remove unused code <num> <num> <num> f <num> f <num> f <num> d <num> <num> <num> <num>
31.463 || add a check of the edge cases for bug <num> as expected they all pass || add testcase issue <num> <num> <num> <num> e <num> e <num> e <num> e <num> e <num>
31.463 || put full filepaths in error messages when not using the default message format || add a null check to the case of the file to make sure it s not used
31.463 || set installation status to marketplace add ons || add info info to prevent npe <num> <num> <num> <num> <num> a <num> d <num> d <num>
31.379 || hive <num> fixed partition pruning check for uppercase table names ashish thusoo via zshao || add a method to make the ast type in a goog set it created by moe https github com google moe moe migrated revid <num>
31.379 || modify the navigation bar || fixing a regression where the wrong page could be updated <num> <num> <num> <num> <num> f <num> f <num> d <num> d <num> <num> <num>
31.370 || hive <num> logging too verbose for table not found alice fan reviewed by naveen gangam || add a more logging to the log message <num> <num> html <num> html <num> d <num>
31.370 || expand hack used to field declaration to consider also variable declaration || add a method to make the get method to a get node to the get text
31.370 || add some debugging to try and understand current gump failure || add testcase to ensure the test case of the end of the end of the test
31.370 || invalidate the cache entry if a previously missing resource is now present || add a null check to the web path to <num> html <num> <num> <num> <num> <num>
31.370 || handle the case when the expression is a binary tree surrounded by parentheses || add a couple of a couple of a test to a test to the test to
31.370 || don t require output encoding in antlr <num> mvn plugin || add support for encoding encoding <num> <num> html <num> html <num> html <num> a <num> d
31.370 || generate method stub so external calls directly to lr rules do not require the precedence argument || add a test to ensure the test to be a a more than a class to
31.370 || improve stability of process utils test on slow box || add a test to ensure the thread thread executor to be started on the same thread
31.273 || improving diagnosis to learn more about mysterious abort issue || add a convenience method to make the new method to be more than a <num>
31.273 || simplified the url by reducing the intermediate module step || add a method to get the rest of the rest of a non existent method
31.273 || update video item list activity java || add a check to show item to prevent crash when the activity is already loaded
31.273 || add l prefix to serial version uid fields since they are long constants || add a <num> <num> to the log level to the case of the last name
31.273 || improve handing of overflow in the utf <num> decoder with supplementary characters || add a test to ensure the index of a non existent a non existent array
31.273 || add a reasonable error margin to the test || add test for <num> <num> <num> html <num> f <num> f <num> e <num> <num>
31.273 || update all version numbers for consistency prior to the <num> release || add version <num> <num> <num> <num> <num> <num> <num> e <num> e <num> e <num>
31.273 || delete only child projects from project config registry at removing project || add project project to the cli to make sure the maven can can be using
31.213 || update debug command || add debug logging
31.213 || removing unwanted todo || add a todo
31.213 || add schema name || add a todo
31.213 || remove jpa dependencies || remove unused import
31.213 || modify test case || fix broken test
31.213 || modify the code || remove unused code
31.213 || ignore the code || remove unused code
31.213 || modify config manager || add config config
31.213 || exclude unused error || remove unused code
31.213 || remove blank || remove unused code
31.213 || remove the blank || remove unused imports
31.213 || remove useless hashfunction || remove unused code
31.213 || remove some debug || remove unused code
31.213 || remove extra prints || remove unused code
31.213 || remove confusing comment || remove unused code
31.213 || deprecate unused methods || remove unused code
31.213 || remove duplications || remove unused code
31.213 || deprecate unused parameter || remove unused code
31.213 || forgot unused imports || remove unused code
31.213 || remove deprecated code || deprecate deprecated method
31.213 || remove unnecessary whitespace || remove unused code
31.213 || tweak debug message || remove debug logging
31.213 || remove unnecessary constant || remove unused code
31.213 || remove useless methods || remove unused code
31.213 || remove todo markers || remove unused code
31.213 || deprecate unused code || remove unused method
31.213 || remove deprecated code || remove unused method
31.213 || extend test case || fix test <num>
31.213 || remove null check || remove unused code
31.213 || remove unnecessary nullable || remove unused code
31.213 || add super remove || remove dead code
31.213 || modify test || add test case
31.213 || remove useless codes || remove unused import
31.213 || modify case || add test case
31.213 || add query row || add null check
31.213 || add hash code || add null check
31.213 || add old name || add null check
31.213 || add new property || add null check
31.213 || remove getter || remove unused code
31.213 || remove this || remove unused code
31.213 || delete unused logs || remove unused code
31.213 || remove unuse line || remove unused code
31.213 || refine unit test || fix test test
31.213 || remove unuse throw || remove unused code
31.213 || add hard fork || add comment to
31.213 || fix new version || fix bug to
31.213 || remove test ignore || fix test test
31.213 || add netusage api || add null check
31.213 || add vote bean || add missing comments
31.213 || remove unuse function || remove unused code
31.213 || add unkonwn db || add null check
31.213 || remove incorrect documentation || remove unused code
31.213 || remove errant semicolon || remove unused import
31.213 || removed incorrect import || remove unused import
31.213 || remove duplicated logger || remove unused import
31.213 || remove redundant placeholder || remove unnecessary logging
31.213 || give admin firstname || update email admin
31.213 || remove sysouts || remove unused code
31.213 || remove systouts || remove unused code
31.213 || remove useless qualifiers || remove unused code
31.213 || removed debug output || remove debug log
31.213 || remove <num> warnings || remove unused code
31.213 || add wintertodt aoe || add missing comments
31.213 || add nest notification || add debug logging
31.213 || remove instructions correctly || remove unused code
31.213 || remove unusedcode || remove unused code
31.209 || add test for simple if else statement || add test for new type type
31.209 || add support for drawing names on minimap || add support for new top level
31.209 || add test for method injected shared preferences || add test for show a toast
31.176 || fix the default config || add a null check to the case of the string value to the case of the case of the case of the case
31.176 || reuse the constructor || add a <num> <num> to the usage of the language so that it can be used to the usage of the first language
31.176 || need the test folder content || add a todo to the list of the beginning of a more information to the list of the end of a more efficient
31.172 || improving the logging level to help assist hudson <num> || add debug logging <num> <num> html <num> d <num> d <num> <num> <num> <num>
31.172 || optimize change is persist property value type from string to boolean <num> || fix bug to prevent state when the node is called t called t not
31.172 || hive <num> move precommit jobs to jdk <num> vihang karajgaonkar || add a test for the test case <num> html <num> html <num> html <num>
31.172 || hive <num> test metastore version fails intermittently on trunk szehon ho via ashutosh chauhan || fix test to use the lucene version method to the store of the store
31.172 || use the benchmark runner for the normalization performance test || add test for <num> <num> <num> <num> html <num> d <num> f <num> f
31.172 || avoid null pointer exception in plsqlparser canonical name || add a null check for the string name to string to string to string
31.172 || use string builder followup to r <num> || add request to the request <num> <num> html <num> html <num> e <num> d
31.172 || add pre read next token function || add a convenience method to make it easier to a few a token token
31.172 || set jtable views opaque to true || add a method to ensure the connection is already set <num> <num> html <num>
31.172 || allow end of line comments to take format args || add a convenience method to the class to the case of the http flow
31.172 || add c method for jpeg data || add a null check for the bitmap to the current bitmap to prevent crash
31.172 || preload the antlr runtime for tests on linux e g travis || add a more descriptive test for the bazel to the build to the build
31.172 || update tests for deterministic naming in <num> ed <num> || add test for issue <num> to the test to the test to the test
31.172 || fixed a reading bug in audio clips for <num> || add a new method to ensure the audio is not set to the source
31.172 || fix the slave abnormal recover slow issue || fix bug to use the correct buffer size of the end of the test
31.172 || adjust timeout of issue index benchmark test || add a test for the list of the beginning of a non existent tests
31.172 || publish all workspace pod events to the machine logs || fixed a bug where the job relationships relationships to be started on the server
31.172 || add extra steps in the prepare to increase stability || fix bug to use the new project name to the run of the tab
31.069 || eliminated a findbugs warning about int x int long || fix bug to use a long time to the end of the timer
31.069 || add javadoc to zincr by params || add a convenience method to the set of the map of the map
31.069 || add second jedis connection to wait for new promoted master call || add a test to ensure the port port is not set to false
31.069 || modify the heart show kb to mb || fix bug to use the size size of the size of the size
31.069 || migrated match length comparator to live with the others || add a null check to the case of the case of the case
31.069 || issue <num> prevent instantiation of string literal expr with newlines or tabs || add a convenience method to the list of the string of the first
31.069 || remove some debug hacks accidently included in previous commit || remove debug print <num> <num> d <num> a <num> d <num> d <num>
31.069 || add specificity to translations about the connection state || add a new device to device device <num> <num> e <num> e <num>
31.069 || set code string versions to <num> <num> || add a null check for the string string to string to the string
31.069 || add setters for line charpos to lexer lexersimulator || add a method to ensure the to string of a non existent input
31.069 || set un used cost to be zero for non heavy reserved instances || add a null check to get the chain of a non existent class
31.069 || fixing failing assertion in empty process test || add a test to ensure that is not null in a test annotation
31.069 || stop auto when banner is invisible || fixing crash when updating the folder when the current view is not loaded
31.069 || add test on searching issues on view without project || add a test to make sure the search name is a non existent
31.069 || remove useless session rollback causing my sql ut instability || remove session from session session session from session session <num> <num> <num> f
31.069 || add missing ruby code needed for navigation || add a missing method to the test <num> <num> html <num> html <num>
31.069 || improve the logs of json reports || add a new rule to the rule of the rule of the rule
31.069 || issue <num> improve logging around namespace not served by this instance <num> || add a new aws to the cli option to the cli <num> <num>
31.066 || hive <num> typo in dynamic partitioning code bits says genereated instead of generated in some places harsh j via egc || add support for setting to <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num>
30.962 || fix the oob error estimation || add a more descriptive to the error message to the list of
30.962 || add content filter to mediaccc || add a check to show item item when it is not found
30.962 || add live lable to toolbar || add null check to prevent crash when the activity is not found
30.962 || add downloads menu item || add a check to show item to the list of the search
30.962 || igonre the unused junit test || fix test failure to use a few more efficient to the test
30.962 || reduce the example rule cell font by <num> now consumes less space || add a note for the r <num> to the html to the
30.962 || remove unused method value attribute get unwrapped element type name simple || add a couple of the method to make of the string name
30.962 || add support for java <num> as the source target for jsp compilation || add a couple of the compiler method to the set of compiler
30.962 || fix broken test qop and nc are not quoted || add a test to ensure sure the server is not set <num>
30.962 || mark the implementations of deprecated javax servlet jsp el classes as deprecated || add a method to the list of the rest of all apps
30.962 || add transfer for new dataflow node introduced by cf <num> <num> || add a null check for the list of a non existent method
30.962 || weaken the wording for the method can be static suggestion || add a todo to the class to the case of the constructor
30.962 || add convenience anonymous class builder code block <num> || add a null check for the builder builder builder to the build
30.962 || add new rule configuration || add a test to make sure the rule is not not not
30.962 || add rule s default parameters to active rules || add a comment about the list of the rule of the key
30.962 || update property description of default assignee login sonar <num> || add a couple of the property to the list of the user
30.962 || add new user type property settings server side sonar <num> || add a couple of the property to the list of the cli
30.962 || add quest to quest screenshots || add a bit more convenience to the text of the text text
30.962 || add decimal formatting for precise combat level || add a couple of debug level to the set set set set
30.962 || fixes a minor bug in a test case || add test for the list of the list of a class name
30.962 || add test for multiple actions with receiver action || add action action action action action action action action action action action
30.951 || improve messages produced by variable naming conventions rules || add a couple of a couple of a hash message in a preconditions created by moe http code google com p
30.951 || silence a findbugs warning || add a convenience method to prevent crash when the app is not found <num> <num> html <num> d <num> d <num>
30.853 || fixing <num> in a different way || add a bit more convenience method <num> <num> html <num> d
30.853 || add one of support || add a method to get the field of a class name
30.853 || remove method indirection to value field || add a method to ensure the to string to be set
30.853 || add ability to pass your own diff result in update method || add null check to prevent crash when the adapter is empty
30.853 || append logs to storm local dir property when non null || add a null check to make sure it s not running
30.853 || add hans bausewein to list of contributors || add a todo to the get text view to the build
30.853 || add qname resolution step to the designer || add a warning about the goog name of the output name
30.853 || added a nice new xml to html stylesheet for cpd || add a method to ensure sure the data is an empty
30.853 || adding a null resource is illegal throw an illegal argument exception || fix a npe in the resource resource <num> <num> html <num>
30.853 || remove unnecessary code request can not be async at this point || don t use the request context if it is not called
30.853 || add missing patch for <num> compatibility || add option to disable the feature flag for the command flag
30.853 || add some missing nullable annotations to utils || add a method to get type type type to the case
30.853 || add index name to the log message || add a test to ensure sure dns address is not used
30.853 || add raw data hex || add data data data data data data data data data data
30.853 || add deprecated methods to preserve backwards compatibility || add a todo to the list of rule to the build
30.853 || add owner to know attribute list of user task || add a null check for the case of the json xml
30.853 || adds test case for mixed body param and path params <num> || add test for the list of the json of the json
30.853 || add seta to base danmaku || add support for setting to the top of the same filter
30.853 || remove a println from compilation errors test || add a test for the usage of a few more compiler
30.853 || remove the dependency on array utils from resource type tree || add a null check to make sure the array is empty
30.853 || remove overlay manager add menu remove menu || fix bug menu not not called when the menu is detached
30.853 || make the default min value of ranges <num> || add a bit more method to the top of the test
30.853 || impling plugin fix impling list not clearing on hopping worlds || fix bug to prevent crash when not login to the screen
30.853 || changed the version number to <num> || add a method to ensure the test case of the fields
30.853 || allow sidecar containers to list kubernetes services by default <num> || add a documentation to the list of the rule rule rule
30.853 || stabilize selenium test upload into project test <num> || add a test to ensure the user is not loaded <num>
30.853 || add an error when keycloak container is not found <num> || add a test to make sure the user is a user
30.853 || remove redundant import from the test workspace logs reader test <num> || add a test to ensure sure the file log fails fails
30.829 || fixed the view s regex handling of top level items issue <num> || add a null check to make sure we don t have a filename to a non existent code to the
30.829 || hive <num> fix description of hive security authorization sqlstd confwhitelist params akira ajisaka via thejas nair || add a convenience method to the azkaban <num> <num> <num> <num> <num> <num> f <num> f <num> f <num> <num>
30.829 || bringing everything inline so we don t have platform dependencies in the build || add a null check for the list of the beginning of the case of the case of the first test
30.829 || improve error message by including specified timeout if failed to retrieve a data sender || fix bug by <num> <num> <num> <num> d <num> d <num> d <num> <num> <num> <num> <num> <num> <num> <num>
30.829 || include the exception in the error message || add log to exception log exception <num> <num> <num> html <num> d <num> d <num> d <num> d <num> <num>
30.829 || make implementation of get parent class loader consistent with the other implementations across the code base || fixed a bug where loader loader would not be called <num> <num> html <num> html <num> d <num> d <num>
30.829 || add witness capsule || add a method to get the address of the response to get the response of the response of the response
30.829 || remove online menu items when removing extensions menus || remove unused code <num> <num> <num> <num> a <num> d <num> d <num> f <num> c <num> c <num> c
30.829 || add properties migrator and adapt new properties and new rules || add a couple of the rest property to the rest of the rest of the rest of the rest command
30.743 || adding ui to serve the log || add a convenience method to the build to the build
30.743 || added the set jdk method || added a convenience method to make sure you can have
30.743 || add options list to type interface || add a getter to get the value of the fields
30.743 || hive <num> llap npe in expr to string sergey shelukhin || add a method to get the ast in a node
30.743 || add option to supress splash || add a todo to the usage of the command line
30.743 || add more null guards for jdbc type || add a null check to the list of the field
30.743 || add setter for exception translator <num> || add author <num> <num> <num> e <num> <num> <num> <num>
30.743 || add additional test case <num> || fix test <num> <num> html <num> html <num> html <num>
30.743 || modify the bug || fix a bug where the wrong id could be saved
30.743 || cancel activity animation when swiped to finish || fixing issue with content scrolling when dragging to adjacent apps
30.743 || refactoring the parsing of concurrent events || fix a typo to the end of the same command
30.743 || add todo for follow up improvements || add a todo to the case of the last cast
30.743 || delete temporary file after test || add a test to ensure the file is not null
30.743 || added new rule thx to william mc arthur || add a couple of method to make the new method
30.743 || add javadoc to name logic || add a couple of a method to get goog module
30.743 || add one javadoc sentence to describe node with optional scope || add a test to ensure that is not not used
30.743 || add general main class || add a doc to the main of main of main
30.743 || add i <num> n to two hpack exceptions || add a null check to the list of the index
30.743 || disable unnecessary lambda anonymous class on android code || remove unused code to the end of the class name
30.743 || put checking of injected fields behind a flag in unused || add a test for the check pass in the test
30.743 || expose a helper for binding guarded by strings to symbols || add a todo to the case of the same type
30.743 || add some more validation to bug checker info || add a method to the the default url <num> <num>
30.743 || improve error for bug checkers without a bug pattern annotation || add a null check for the check check test case
30.743 || add rule name || add a method to get the name of the property
30.743 || add changelog entry update vsersions in the examples for fb || add a test to make sure the url is password
30.743 || add the encoding and treat warnings as errors parameters || add a convenience method to the output of the file
30.743 || add default ctor to lexer || add a convenience method to the usage of the string
30.743 || add exception to recover || add a todo to the usage of the token validator
30.743 || add ipv <num> loopback to default api allowed addresses || add a new method to the list of the operator
30.743 || add new aws location in frankfurt germany eu central <num> || add a method to get the timestamp in the validator
30.743 || update rx camera view || add a method to get the camera s a view
30.743 || adding a javassist weld jboss interceptor gadgets to ysoserial || add a test to ensure the test is not null
30.743 || add uuid to exception message when component tree crawling fails || add a todo to the list of the xml type
30.743 || add support for module in ce s container || add a method to the list of the module module
30.743 || add logs to db tests || add a test to ensure sure the connection is null
30.743 || add javadoc to violation get committer || add a todo to make sure it is not used
30.743 || add puzzle box inventory id || add a method to get current id from a method
30.743 || changed keyword self lookup to use rt get || add a method to get the method to be overridden
30.743 || add html sanitization for workspace name for preventing xss <num> || add a convenience method to get text to the html
30.743 || add terminal debug id <num> || add debug logging to widgets when the widget is disabled
30.743 || add labels to function statefulsets and services <num> || add a todo to the list of the node command
30.743 || add default impl for get key <num> || add a null check for the list of the string
30.743 || add tenant and namespace getters to python context <num> || add a method to get the value of the message
30.743 || use a shared secure random instance || add a random random random random random random random tests
30.701 || use the newer new instance and avoid using deprecated methods || add a convenience method to make the default to the output of a non existent file to make it
30.701 || hive <num> potentially possible case fall through in the object inspector converters oleg danilov via zoltan haindrich || add a method to the list of the source of the source of the source to the name of
30.701 || hive <num> llap config not passed to daemon init || ignite <num> hadoop hadoop tcp tcp tcp tcp node finder fixes <num> fixes <num> <num> <num> <num> <num> <num>
30.701 || modify the test || add test for issue <num> <num> <num> html <num> e <num> f <num> e <num> e <num> <num> <num>
30.701 || fix small refresh problem || fix bug by <num> <num> <num> <num> d <num> d <num> d <num> d <num> d <num> <num> <num>
30.701 || merge updates from commons file upload to r <num> || fix a typo <num> <num> <num> <num> d <num> f <num> f <num> e <num> e <num> e <num>
30.701 || include invalid main resource location in error message || add more information to exception message <num> <num> <num> html <num> d <num> d <num> d <num> <num> <num>
